"Document Title",Authors,"Author Affiliations","Publication Title","Date Added To Xplore","Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI","Funding Information","PDF Link","Author Keywords","IEEE Terms","Mesh_Terms","Article Citation Count","Patent Citation Count","Reference Count","License","Online Date","Issue Date","Meeting Date","Publisher","Document Identifier"
"Analysis of wild fire behaviour in wild conservation area using image data mining","Divya T.L.; Vijayalakshmi M.N.","Dept. of MCA, R.V. College of Engineering, Mysuru Road, Bengaluru-59, India; Dept. of MCA, R.V. College of Engineering, Mysuru Road, Bengaluru-59, India","2015 IEEE International Conference on Electrical, Computer and Communication Technologies (ICECCT)","27 Aug 2015","2015","","","1","3","Forest fire is a major environmental issue creating ecological damage. Fire detection is a key element for controlling such incident. As per the forest survey of India 19.27% or 63.3 million hectare of the Indian land has been classified as forest area, of which 38 million ha alone are hoarded with resources in great quantity (top density above 40%).There are many fire detection algorithms available, each one of it has its own approach of predicting fire. The proposed work processes the satellite images based on its intensity levels to find out the fire affected region (hot spots). In order to detect hot spots agglomerative hierarchical clustering algorithm is used and the direction of the fire spread regions are plotted based on the clusters obtained by the algorithm for the given input image. The implementation is based on RGB values of pixels of an image. The algorithm's efficiency is relatively high when it is applied on forest fire images.","","978-1-4799-6085-9","10.1109/ICECCT.2015.7226082","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7226082","Forest fire;Agglomerative Hierarchical clustering;satellite image;Dendogram","Fires;Prediction algorithms;Algorithm design and analysis;Data mining;Image segmentation;Computational modeling;Geology","","9","","11","IEEE","27 Aug 2015","","","IEEE","IEEE Conferences"
"Elaboration of a wild fire hazard model for the Eparchy of Pylias (SW-Messinia, Greece) based upon remote sensing and GIS","B. M. De Vlieger; P. S. Basigos","Dept. of Geogr., Univ. of Gent, Belgium; Nomarchia Messinias, Dieythisi Dason Messinias, Kalamata, Greece",Proceedings of IGARSS '94 - 1994 IEEE International Geoscience and Remote Sensing Symposium,"28 Feb 2003","1994","2","","776","778 vol.2","A hazard model for fire spreading is set up for the Eparchy of Pylias (SW-Messinia, Greece) based upon a combined and integrated research using remote sensing and GIS. The basic information for this study are the statistics about the fire history of the region for the period 1978-1993. Prior to the modelling, a thematic study is performed for the different influencing factors (vegetation, topography, accessibility, influence of tourism, proximity to waste dumps). Using the GIS, the relationship between the occurrence of wild fires, as well for the ignition as for the growth of the fire and the influencing factors is searched for. Out of these results, thematic hazard functions are defined. Applying the hazard function, each thematic map is transformed into a thematic hazard map. The final hazard maps are obtained by combining the different thematic hazard maps. The resulting maps can be of great benefit for the understanding of the fire problem and will offer a more effective control of the wild fires.<>","","0-7803-1497-2","10.1109/IGARSS.1994.399258","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=399258","","Fires;Hazards;Remote sensing;Geographic Information Systems;Statistics;History;Vegetation mapping;Surfaces;Ignition","","","","16","IEEE","28 Feb 2003","","","IEEE","IEEE Conferences"
"Simulation and visualization of forest fire growth in an integrated 3D virtual geographical environment - a preliminary study","Hongyu Huang; Liyu Tang; Jianwei Li; Chongcheng Chen","Department of Electrical Engineering, Shahid Beheshti University, Tehran, Iran; Department of Electrical Engineering, Shahid Beheshti University, Tehran, Iran; School of Engineering, University of Applied Sciences Upper Austria, Wels, Austria; Fuzhou University, Fuzhou, Fujian, CN",2012 20th International Conference on Geoinformatics,"20 Aug 2012","2012","","","1","6","It is important to understand how wildland fire is spreading in a given forest landscape as this information is critical to many applications such as emergency response and decision support for fire suppression, prescribed burning, fire prevention education and fighting training. We review the progress in fire spread simulation and virtual forest modeling, and present a 3D forest fire spread simulation and visualization system. Methods and techniques for modeling and visualization of terrain, trees and vegetations and fires are discussed and incorporated with fire spread simulation and visualization system. An integrated environment was built based on OntoPlant, a suite of virtual plant software developed in house, FARSITE fire simulator developed by the USDA as fire spread engine and Open Scene Graph (OSG). The system can display a realistic 3D wildfire scenario taking into consideration the factors such as terrain, vegetation type and weather conditions. Fire is rendered by using particle system, while the level of detail and curve morphing technique are used to animate the flame and smoke under various slope and wind conditions. During the fire propagation, the appearances of burned plants are updated automatically. The fire spreading is visualized according to the calculations derived from the fire simulation engine. Greater insight can be gained as users realistically and intuitively view the fire progress in our 3D virtual forest environment.","2161-0258","978-1-4673-1104-5","10.1109/Geoinformatics.2012.6270344","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6270344","Forest Fire;Fire Behavior Simulation;3D Visualization;Virtual Geographical Environment;FARSITE;OSG;Decision Support","Biological system modeling;Visualization;Fuels;Data visualization","","6","","25","IEEE","20 Aug 2012","","","IEEE","IEEE Conferences"
"Requirements for space-based observations in fire management: a report by the Wildland Fire Hazard Team, Committee on Earth Observation Satellites (CEOS) Disaster Management Support Group (DMSG)","T. J. Lynham; C. W. Dull; A. Singh","Natural Resources Canada, ONT, Canada; USDA Forest Service, Washington D.C., DC, USA; UN Environmental Program, EROS Data Center, Sioux Falls, SD, USA",IEEE International Geoscience and Remote Sensing Symposium,"7 Nov 2002","2002","2","","762","764 vol.2","The Wildland Fire Hazard Team reviewed potential requirements for space-based observations in fire management. The team produced a report, developed under the auspices of the Disaster Management Support Group (DMSG) of the G-7 Committee on Earth Observation Satellites (CEOS). The document was prepared by an international working group, with experience in the field of remote sensing as applied to wildland fire management. The team identified seven major requirements. (http://disaster.ceos.org/2000Ceos/progress/reports/fire.html) These requirements could substantially improve wildland fire management programs, should CEOS augment existing satellites or develop new Earth observation satellites as recommended. The requirements address the different temporal, spatial, and spectral characteristics needed in different phases of fire management and geographic areas of interest. These requirements include fuel mapping, risk assessment, detection, monitoring, mapping, burned area recovery, and smoke management. They are supported by 10 recommendations, as outlined in this paper.","","0-7803-7536-X","10.1109/IGARSS.2002.1025678","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1025678","","Fires;Hazards;Disaster management;Humans;Fuels;Artificial satellites;Risk management;Monitoring;Biomass;Wind speed","","6","","","IEEE","7 Nov 2002","","","IEEE","IEEE Conferences"
"Prescribed Grass Fire Mapping and Rate of Spread Measurement Using NIR Images From a Small Fixed-Wing UAS","S. Gowravaram; H. Chao; Z. Lin; S. Parsons; T. Zhao; M. Xin; X. Hu; P. Tian; H. P. Flanagan; G. Wang","Aerospace Engineering Department, University of Kansas, Lawrence, KS, USA; Aerospace Engineering Department, University of Kansas, Lawrence, KS, USA; Aerospace Engineering Department, University of Kansas, Lawrence, KS, USA; Kansas Biological Survey & Center for Ecological Research, University of Kansas, Lawrence, KS, USA; University of California, Merced, CA, USA; University of Missouri, Columbia, MO, USA; Georgia State University, Atlanta, GA, USA; Aerospace Engineering Department, University of Kansas, Lawrence, KS, USA; Aerospace Engineering Department, University of Kansas, Lawrence, KS, USA; Toronto Metropolitan University, Toronto, ON, Canada",IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,"13 Apr 2023","2023","16","","3519","3530","This article focuses on the mapping and rate of spread (ROS) measurement of grass fires using near infrared (NIR) images acquired by a small fixed-wing unmanned aircraft system (UAS) operating at low altitudes. A new method is proposed for spatiotemporal representation of grass fire evolution using time labeled UAS NIR orthomosaics stitched from aerial images collected at varying time stamps over different regions of fire. Furthermore, a novel NIR intensity variance thresholding method is proposed for accurate identification and delineation of grass fire fronts based on the obtained NIR mosaics in digital numbers. The proposed methods are demonstrated and validated using UAS NIR imagery acquired over a prescribed tallgrass fire in Kansas (around 13 ha.). Three NIR short time-series orthomosaics are generated at a time interval of about 2 min with a spatial registration accuracy of 1.45 m (RMSE). The mean ROS for head, flank, and back tallgrass fires are measured to be 0.28, 0.1, and 0.025 m/s.","2151-1535","","10.1109/JSTARS.2023.3255230","US Department of Agriculture National Institute of Food and Agriculture(grant numbers:2019-67021-29011,2019-67021-28992,2019-67021-28993); National Science Foundation(grant numbers:2125361); University of Kansas Research GO; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10077739","Fire behavior;fire front detection;grass fire;multispectral remote sensing;unmanned aircraft system (UAS);wildland fire","Remote sensing;Cameras;Behavioral sciences;Temperature measurement;Spatial resolution;Atmospheric modeling;Sensors","","1","","38","CCBY","21 Mar 2023","","","IEEE","IEEE Journals"
"A Machine Learning Solution for Operational Remote Sensing of Active Wildfires","N. F. McCarthy; A. Tohidi; M. M. Valero; M. Dennie; Y. Aziz; N. Hu","One Concern, Inc., Menlo Park, CA, USA; One Concern, Inc., Menlo Park, CA, USA; One Concern, Inc., Menlo Park, CA, USA; One Concern, Inc., Menlo Park, CA, USA; One Concern, Inc., Menlo Park, CA, USA; One Concern, Inc., Menlo Park, CA, USA",IGARSS 2020 - 2020 IEEE International Geoscience and Remote Sensing Symposium,"17 Feb 2021","2020","","","6802","6805","Quantitative wildfire behavior data is invaluable for model development and real-time situational awareness during a fire emergency. However, there exists at present no scalable solution to acquire consistent information about active forest fires that is both spatially and temporally explicit. Spaceborne sensors must meet exigent tradeoffs between spatial and temporal resolution, and there is no single platform that allows detailed measurement of fire behaviour from space. To overcome this limitation, we developed a machine learning solution designed to leverage the complementary features of various remote sensing platforms. Our system relies on a machine learning algorithm to statistically downscale Geostationary (GEO) satellite imagery and continuously monitor active fire location with the spatial resolution typical of Low Earth Orbit (LEO) sensors. In order to achieve this, the model trains on LEO imagery, land use information, vegetation properties, and terrain data. This paper describes the system architecture and demonstrates its performance in two case studies. Results presented here prove the viability of the proposed strategy and encourage further development.","2153-7003","978-1-7281-6374-1","10.1109/IGARSS39084.2020.9324119","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9324119","Wildland fire;remote sensing;fire management;decision support;machine learning;fire spread","Spatial resolution;Monitoring;Sensors;Remote sensing;Earth;Vegetation mapping;Satellites","","5","","17","IEEE","17 Feb 2021","","","IEEE","IEEE Conferences"
"TrueTrees: A Scalable Workflow for the Integration of Airborne LiDAR Scanning Data into Fuel Models for Prescribed Fire Simulations","D. Roten; L. Wells; D. Crawl; R. A. Parsons; A. Marcozzi; R. R. Linn; K. Hiers; I. Altintas","University of California San Diego, La Jolla, CA, United States; Silvx Labs, Missoula, MT, United States; University of California San Diego, La Jolla, CA, United States; USDA Forest Service, Missoula, MT, United States; Silvx Labs, Missoula, MT, United States; Los Alamos National Laboratory, Los Alamos, NM, United States; Tall Timbers, Tallahassee, FL, United States; University of California San Diego, La Jolla, CA, United States",2023 IEEE 19th International Conference on e-Science (e-Science),"25 Sep 2023","2023","","","1","10","Long-standing fire suppression policies, global warming and human influence at the urban-wildland interface are fueling a global wildfire crisis. Prescribed burns are increasingly being recognized as an essential procedure to reduce fuel (biomass) overgrowth and mitigate the size and severity of uncontrolled wildfires. Next-generation three-dimensional (3D) fire behavior simulations, which can help land managers to identify risks and improve planning for successful prescribed burns, depend on accurate 3D fuel structure models. We introduce TrueTrees, a workflow that integrates tree-level observations from airborne lidar surveys into FastFuels 3D fuel models. The workflow is optimized and distributed to allow processing of point cloud data for typical burn units within minutes. TrueTrees is implemented into a prototype of BurnPro3D, a user-friendly science-driven decision support platform for prescribed burn planners.","2325-3703","979-8-3503-2223-1","10.1109/e-Science58273.2023.10254923","NSF(grant numbers:2040676,2134904,CNS-1730158,ACI-1540112,ACI-1541349,OAC-1826967,OAC-2112167,CNS-2120019); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10254923","","Surveys;Point cloud compression;Solid modeling;Three-dimensional displays;Laser radar;Atmospheric modeling;Fires;Climate change","","2","","39","IEEE","25 Sep 2023","","","IEEE","IEEE Conferences"
"Application of Deep Learning in Forest Fire Prediction: A Systematic Review","C. Mambile; S. Kaijage; J. Leo","School of Computational and Communication Science and Engineering (CoCSE), The Nelson Mandela African Institution of Science and Technology (NM-AIST), Arusha, Tanzania; School of Computational and Communication Science and Engineering (CoCSE), The Nelson Mandela African Institution of Science and Technology (NM-AIST), Arusha, Tanzania; School of Computational and Communication Science and Engineering (CoCSE), The Nelson Mandela African Institution of Science and Technology (NM-AIST), Arusha, Tanzania",IEEE Access,"19 Dec 2024","2024","12","","190554","190581","Forests are among the world’s most valuable ecological resources. However, they face significant threats from Forest Fires (FFs), causing environmental damage and impacting wildlife and economies. The increasing global occurrence of FFs has created an urgent need for more accurate prediction methods. Traditional FF prediction approaches, reliant on meteorological data and human expertise, are often limited in accuracy and scalability. Deep Learning (DL) offers a promising solution for enhancing prediction capabilities. This systematic review evaluated various DL techniques for FF prediction, analyzing their methodologies, effectiveness, and challenges. Covering studies published between January 2017 and July 2024, 55 of 656 papers were selected for detailed analysis. The study revealed that Convolutional Neural Networks (CNN) and Long Short-Term Memory (LSTM) models are the most frequently used, with most datasets being publicly available. These findings indicate that classification models and simulation-based studies dominate the field. Commonly used metrics include accuracy, precision, recall, F1 score, and Area Under the Receiver Operating Characteristic Curve (AUC-ROC). Key meteorological features, such as Temperature, Humidity, and Wind speed, have been extensively studied using the Normalized Difference Vegetation Index (NDVI), Land Surface Temperature (LST), and Normalized Difference Moisture Index (NDMI), the most commonly used satellite-derived features. However, integrating human activity data remains underexplored despite its potential to improve prediction accuracy significantly. Addressing this gap could enhance the practical applicability of DL models for FF predictions. This study provides insights into the most prevalent and effective DL techniques for FF prediction and highlights areas for future research.","2169-3536","","10.1109/ACCESS.2024.3515215","U.K. International Development and the International Development Research Centre, Ottawa, Canada, as part of Artificial Intelligence (AI) for Development: Responsible AI, Empowering People Program (AI4D)(grant numbers:110470-001); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10792919","Deep learning;forest fire;forest fire prediction;prediction features;satellite images;wildfire","Artificial intelligence;Forestry;Predictive models;Accuracy;Data models;Convolutional neural networks;Biological system modeling;Satellite images;Long short term memory;Computational modeling","","16","","166","CCBY","11 Dec 2024","","","IEEE","IEEE Journals"
"Distributed Spacecraft with Heuristic Intelligence to Monitor Wildfire Spread for Responsive Control","S. Nag; V. Ravindra; R. Levinson; M. Moghaddam; K. Nelson; J. Mandel; A. Kochanski; A. F. Caus; A. Melebari; A. Kannan; R. Ketzner","Bay Area Environmental Research Institute at NASA Ames Research Center, Moffet Field, CA; Bay Area Environmental Research Institute at NASA Ames Research Center, Moffet Field, CA; KBR Wyle LLC at NASA Ames Research Center, Moffet Field, CA; University of Southern California, Los Angeles, CA; EROS Center at United States Geological Survey, Sioux Falls, SD; University of Colorado, Denver, CO; San Jose State University, CA & Utah State University, UT; San Jose State University, CA & Utah State University, UT; University of Southern California, Los Angeles, CA; University of Southern California, Los Angeles, CA; Bay Area Environmental Research Institute at NASA Ames Research Center, Moffet Field, CA",IGARSS 2024 - 2024 IEEE International Geoscience and Remote Sensing Symposium,"5 Sep 2024","2024","","","699","703","We develop and verify a space-based, distributed, adaptive intelligent, responsive New Observing System (NOS) to improve wildfire response decisions by monitoring and forecasting fuel flammability and wildfire spread and providing on-demand fire danger and burnt area maps. We use Global Navigation Satellite System Reflectometry (GNSS-R) as the NOS, informed by improvements to existing frameworks - D-SHIELD (Distributed Spacecraft with Heuristic Intelligence to Enable Logistical Decisions) and WRFx (Weather Research and Forecasting Fire Spread Model). Five new products are developed/enhanced using GNSS-R data from CYGNSS (7-sat NASA mission) and Spire Global (commercial fleet) and assimilated into WRFx, which improves existing USGS fire danger and LANDFIRE fuel layers products. These products are expected to inform observation planning and fire management via an observation value framework and a fire forecast reporter that we develop. Adaptive intelligence to dynamically task the observing (satellites) and planning (ground stations) assets, and synchronization between them, is achieved using novel Monte Carlo Tree Search (MCTS) based planner.","2153-7003","979-8-3503-6032-5","10.1109/IGARSS53475.2024.10640833","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10640833","","Space vehicles;Wildfires;Satellites;Reflectometry;Planning;Fuels;Synchronization","","","","24","IEEE","5 Sep 2024","","","IEEE","IEEE Conferences"
"Forecast of Wildfire Potential Across California USA Using a Transformer","R. Limber; W. W. Hargrove; F. M. Hoffman; J. Kumar","Bredesen Center for Interdisciplinary Research, The University of Tennessee, Knoxville, TN, USA; Southern Research Station, USDA Forest Service, Asheville, NC, USA; Computational Earth Sciences, Oak Ridge National Laboratory, Oak Ridge, TN, USA; Environmental Science, Oak Ridge National Laboratory, Oak Ridge, TN, USA",2024 IEEE International Conference on Big Data (BigData),"16 Jan 2025","2024","","","4342","4350","Wildfires are a major issue facing the United States, a matter further exacerbated by an ever-changing climate. In California alone, wildfires are responsible for billions of dollars in damages and take lives each year. Accurately predicting fire danger conditions allows preparation awareness before wildfires start. Transformers are a class of deep learning models designed to identify patterns in sequential datasets. In recent years, transformers have gained popularity through their impressive performance in natural language processing and other applications of signal recognition. This analysis demonstrates the ability of a transformer with a residual connection to forecast fire danger potential over the state of California. Wildland fire potential index (WFPI) maps collected from the US Geological Survey database from January 1st 2020 to December 31st 2023 were used to tune, train and evaluate the transformer. Meteorological inputs (provided by Daymet daily weather and climatological summaries), the normalized difference vegetation index (NDVI) (calculated from the Moderate Resolution Imaging Spectroradiometer (MODIS)), and outputs from the Scott and Burgman fire behavior fuel models (to characterize maps of fuel types), were used as inputs. Our results show that a transformer can effectively emulate the US Forest Service modeled WFPI maps of California USA for four week long forecasts over the month of July, 2023, with correlations ranging from 0.85 – 0.98.","2573-2978","979-8-3503-6248-0","10.1109/BigData62323.2024.10825778","United States Department of Agriculture; Southern Research Station; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10825778","transformer;residual connection;wildfires;time series;remote sensing","Surveys;Wildfires;Normalized difference vegetation index;Geology;Weather forecasting;Predictive models;Transformers;Fuels;Indexes;MODIS","","3","","23","IEEE","16 Jan 2025","","","IEEE","IEEE Conferences"
