Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Forest fire management and fire suppression strategies: a systematic literature review,Natural Hazards,,,,10.1007/s11069-025-07227-x,Burcu TezcanTamer Eren,2025,https://link.springer.com/article/10.1007/s11069-025-07227-x,Article
"The 2025 Wildland-Urban Interface (WUI) Fire Disaster in Ofunato City, Japan",Fire Technology,,,,10.1007/s10694-026-01884-5,Sayaka SuzukiSamuel L. Manzello,2026,https://link.springer.com/article/10.1007/s10694-026-01884-5,Article
Review and perspectives of digital twin systems for wildland fire management,Journal of Forestry Research,,,,10.1007/s11676-024-01810-x,Yizhou LiTianhang ZhangYifei DingRahul WadhwaniXinyan Huang,2024,https://link.springer.com/article/10.1007/s11676-024-01810-x,Article
Evolutionary fire mitigation model for preignition wildfire risk,Natural Hazards,,,,10.1007/s11069-026-08000-4,Hamid R. Sayarshad,2026,https://link.springer.com/article/10.1007/s11069-026-08000-4,Article
When the wilderness burns: an analysis of current fire management and the case for prescribed fire in designated wilderness in the United States,Fire Ecology,,,,10.1186/s42408-025-00414-y,Alyssa WorshamMelanie ArmstrongJonathan D. CoopDagny Signorelli,2025,https://link.springer.com/article/10.1186/s42408-025-00414-y,Article
Community perceptions on wildfires in Mount Kenya forest: implications for fire preparedness and community wildfire management,Fire Ecology,,,,10.1186/s42408-024-00326-3,Mercy N. NdalilaFredrick LalaStanley M. Makindi,2024,https://link.springer.com/article/10.1186/s42408-024-00326-3,Article
Quantifying wildland fire resources deployed during the compound threat of COVID-19,Scientific Reports,,,,10.1038/s41598-024-65942-0,Emily M. WellsErin BevalShannon KayMitchell J. SmallGabrielle Wong-Parodi,2024,https://link.springer.com/article/10.1038/s41598-024-65942-0,Article
Integrated fire management as an adaptation and mitigation strategy to altered fire regimes,Communications Earth & Environment,,,,10.1038/s43247-025-02165-9,I. Oliveras MenorN. Prat-GuitartG. L. SpadoniA. HsuP. M. FernandesR. Puig-GironèsD. AscoliB. A. BilbaoV. BacciuL. BrotonsR. CarmentaS. de-MiguelL. G. GonçalvesG. HumphreyV. IbarnegarayM. W. JonesM. S. MachadoA. MillánR. de Morais FalleiroF. MouillotC. PintoP. PonsA. RegosM. Senra de OliveiraS. P. HarrisonD. Armenteras Pascual,2025,https://link.springer.com/article/10.1038/s43247-025-02165-9,Article
Forest fire size amplifies postfire land surface warming,Nature,,,,10.1038/s41586-024-07918-8,Jie ZhaoChao YueJiaming WangStijn HantsonXianli WangBinbin HeGuangyao LiLiang WangHongfei ZhaoSebastiaan Luyssaert,2024,https://link.springer.com/article/10.1038/s41586-024-07918-8,Article
A tale of two fire systems: indigenous fire stewardship in British Columbia and California,Fire Ecology,,,,10.1186/s42408-025-00399-8,William NikolakisGabe SchepensScott L. StephensRussell Myers RossDon L. Hankins,2025,https://link.springer.com/article/10.1186/s42408-025-00399-8,Article
Integrating Fire Suppression in Forest Management,Advances in Optimization and Wildfire,,,,10.1007/978-3-032-03108-2_6,Filipe AlvelosIsabel Martins,2026,https://link.springer.com/chapter/10.1007/978-3-032-03108-2_6,Conference paper
Global estimation of post-fire soil erosion,Nature Geoscience,,,,10.1038/s41561-025-01876-0,D. C. S. VieiraP. BorrelliS. ScarpaL. LiakosC. BallabioP. Panagos,2026,https://link.springer.com/article/10.1038/s41561-025-01876-0,Article
