Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Forest fire management and fire suppression strategies: a systematic literature review,Natural Hazards,,,,10.1007/s11069-025-07227-x,Burcu TezcanTamer Eren,2025,https://link.springer.com/article/10.1007/s11069-025-07227-x,Article
A Synergistic Approach Using Machine Learning and Deep Learning for Forest Fire Susceptibility in Himalayan Forests,Journal of the Indian Society of Remote Sensing,,,,10.1007/s12524-025-02157-4,Parthiva ShomeA. Jaya PrakashMukunda Dev BeheraSujoy MudiPulakesh DasSatyajit BeheraP. V. VinodBasanta Kumar PrustyBikash Ranjan ParidaBiswajeet PradhanSanjeev Kumar SrivastavaParth Sarathi Roy,2025,https://link.springer.com/article/10.1007/s12524-025-02157-4,Article
Review and perspectives of digital twin systems for wildland fire management,Journal of Forestry Research,,,,10.1007/s11676-024-01810-x,Yizhou LiTianhang ZhangYifei DingRahul WadhwaniXinyan Huang,2024,https://link.springer.com/article/10.1007/s11676-024-01810-x,Article
Vision-based fire management system using autonomous unmanned aerial vehicles: a comprehensive survey,Artificial Intelligence Review,,,,10.1007/s10462-025-11415-3,Sufyan DanishMd. Jalil PiranSamee Ullah KhanMuhammad Attique KhanL. Minh DangYahya ZweiriHyoung-Kyu SongHyeonjoon Moon,2025,https://link.springer.com/article/10.1007/s10462-025-11415-3,Article
Trust-driven approach to enhance early forest fire detection using machine learning,Scientific Reports,,,,10.1038/s41598-025-99032-6,Tayyab KhanKaran SinghBhoopesh Singh BhatiKhaleel AhmadAmal Al-RasheedMasresha GetahunBen Othman Soufiene,2025,https://link.springer.com/article/10.1038/s41598-025-99032-6,Article
A Comprehensive Review of Empirical and Dynamic Wildfire Simulators and Machine Learning Techniques used for the Prediction of Wildfire in Australia,"Technology, Knowledge and Learning",,,,10.1007/s10758-025-09839-5,Harikesh SinghLi-Minn AngDipak PaudyalMauricio AcunaPrashant Kumar SrivastavaSanjeev Kumar Srivastava,2025,https://link.springer.com/article/10.1007/s10758-025-09839-5,Article
Automated forest fire detection in ecological monitoring using enhanced deep learning networks,Scientific Reports,,,,10.1038/s41598-025-31707-6,Akhyar AkhyarJaesung LeeNorazman ShaharAdhi Harmoko SaputroMohd Asyraf Zulkifley,2025,https://link.springer.com/article/10.1038/s41598-025-31707-6,Article
Real-time forecast of high-resolution wildfire spread via Fast Cross-Scale Deep Learning,ENGINEERING Environment,,,,10.1007/s11783-026-2165-1,Yizhou LiYanfu ZengZhiqing PanXinyan Huang,2026,https://link.springer.com/article/10.1007/s11783-026-2165-1,Article
When the wilderness burns: an analysis of current fire management and the case for prescribed fire in designated wilderness in the United States,Fire Ecology,,,,10.1186/s42408-025-00414-y,Alyssa WorshamMelanie ArmstrongJonathan D. CoopDagny Signorelli,2025,https://link.springer.com/article/10.1186/s42408-025-00414-y,Article
"The 2025 Wildland-Urban Interface (WUI) Fire Disaster in Ofunato City, Japan",Fire Technology,,,,10.1007/s10694-026-01884-5,Sayaka SuzukiSamuel L. Manzello,2026,https://link.springer.com/article/10.1007/s10694-026-01884-5,Article
Integrating machine learning algorithms for post-fire damage assessment and rehabilitation prioritization of urban structures,Journal of Building Pathology and Rehabilitation,,,,10.1007/s41024-026-00775-0,Dileep Kumar M.Mayank ChauhanKamal SharmaBarada Prasad SethyGohar AliKrushna Chandra Sethi,2026,https://link.springer.com/article/10.1007/s41024-026-00775-0,Article
Harnessing machine learning and multi-source data fusion for urban fire risk assessment: predictive analysis of spatial heterogeneity,Natural Hazards,,,,10.1007/s11069-025-07954-1,Zongjia ZhangZixi GuoSijin WuPan TangSongyi WangLili Yang,2026,https://link.springer.com/article/10.1007/s11069-025-07954-1,Article
Prioritizing the Right to Environment: Enhancing Forest Fire Detection and Prevention Through Satellite Data and Machine Learning Algorithms for Early Warning Systems,Remote Sensing in Earth Systems Sciences,,,,10.1007/s41976-024-00140-0,Priyadharshini LakshmanaswamyAsha SundaramThangamayan Sudanthiran,2024,https://link.springer.com/article/10.1007/s41976-024-00140-0,Article
Multidisciplinary analysis of the park fire: advancing mega-fire management,Natural Hazards,,,,10.1007/s11069-025-07759-2,Karim Hardy,2026,https://link.springer.com/article/10.1007/s11069-025-07759-2,Article
Ultra-lightweight convolution-transformer network for early fire smoke detection,Fire Ecology,,,,10.1186/s42408-024-00304-9,Shubhangi ChaturvediChandravanshi Shubham ArunPoornima Singh ThakurPritee KhannaAparajita Ojha,2024,https://link.springer.com/article/10.1186/s42408-024-00304-9,Article
Integrated fire management as an adaptation and mitigation strategy to altered fire regimes,Communications Earth & Environment,,,,10.1038/s43247-025-02165-9,I. Oliveras MenorN. Prat-GuitartG. L. SpadoniA. HsuP. M. FernandesR. Puig-GironèsD. AscoliB. A. BilbaoV. BacciuL. BrotonsR. CarmentaS. de-MiguelL. G. GonçalvesG. HumphreyV. IbarnegarayM. W. JonesM. S. MachadoA. MillánR. de Morais FalleiroF. MouillotC. PintoP. PonsA. RegosM. Senra de OliveiraS. P. HarrisonD. Armenteras Pascual,2025,https://link.springer.com/article/10.1038/s43247-025-02165-9,Article
"Machine learning-driven wildfire susceptibility mapping in New South Wales, Australia using remote sensing and explainable artificial intelligence",Natural Hazards,,,,10.1007/s11069-025-07395-w,Rufai Yusuf ZakariOwais Ahmed MalikOng Wee-Hong,2025,https://link.springer.com/article/10.1007/s11069-025-07395-w,Article
Evolutionary fire mitigation model for preignition wildfire risk,Natural Hazards,,,,10.1007/s11069-026-08000-4,Hamid R. Sayarshad,2026,https://link.springer.com/article/10.1007/s11069-026-08000-4,Article
Community perceptions on wildfires in Mount Kenya forest: implications for fire preparedness and community wildfire management,Fire Ecology,,,,10.1186/s42408-024-00326-3,Mercy N. NdalilaFredrick LalaStanley M. Makindi,2024,https://link.springer.com/article/10.1186/s42408-024-00326-3,Article
