;22nd congress of the portuguese association of operational research, apdio 2022
;4-d flight trajectory prediction with constrained lstm network
;<span>d</span>ifferential post-fire vegetation recovery of boreal plains bogs and margins
;a bayesian model for predicting monthly fire frequency in kenya
;a bibliometric analysis of artificial intelligence-based solutions to challenges in wildfire fuel mapping
;a cellular automata model for forest fire spread prediction: the case of the wildfire that swept through spetses island in 1990
;a cellular automaton model of wildfire propagation and extinction
;a comparative analysis of the use of noaa-avhrr ndvi and fwi data for forest fire risk assessment
;a comparative assessment of prediction capabilities of modified analytical hierarchy process (m-ahp) and mamdani fuzzy logic models using netcad-gis for forest fire susceptibility mapping
1;a comparative review on wildfire simulators
1;a comparative study of a deep reinforcement learning solution and alternative deep learning models for wildfire prediction
1;a comparative study on forest fire prediction using arima, sarima, lstm, and gru methods
;a comparison of landscape fuel treatment strategies to mitigate wildland fire risk in the urban interface and preserve old forest structure
;a comparison of remote sensing products and forest fire statistics for improving fire information in mediterranean europe
;a comparison of three approaches for simulating fine-scale surface winds in support of wildland fire management: part i. model formulation and comparison against measurements
;a comprehensive analysis of the effect of radiation and sherwood numbers in wildfire model with moisture convection and diffusion mechanisms
;a comprehensive bibliometric review of forest fires in iran
1;a comprehensive comparison study of traditional classifiers and deep neural networks for forest fire detection
1;a comprehensive review of empirical and dynamic wildfire simulators and machine learning techniques used for the prediction of wildfire in australia
;a comprehensive survey of research towards ai-enabled unmanned aerial systems in pre-, active-, and post-wildfire management
1;a comprehensive survey of the machine learning pipeline for wildfire risk prediction and assessment
1;a comprehensive taxonomy for forest fire risk assessment: bridging methodological gaps and proposing future directions
;a comprehensive taxonomy of cellular automata
;a computationally efficient method for updating fuel inputs for wildfire behavior models using sentinel imagery and random forest classification
;a cutting-edge approach to forest fire region identification through deep learning
;a data-driven analysis and optimization of the impact of prescribed fire programs on wildfire risk in different regions of the usa
;a data-driven model for interaction-aware pedestrian motion prediction in object cluttered environments
;a decision-making framework for wildfire suppression
;a deep learning framework: predicting fire radiative power from the combination of polar-orbiting and geostationary satellite data during wildfire spread
;a deep learning model using geostationary satellite data for forest fire detection with reduced detection latency
;a doppler radar and conceptual analysis of a horizontal longitudinal vortex influencing the bastrop complex wildfire
1;a focused review on wildfire evacuation and infrastructure resilience in canada: trends and insights (2013-2023)
;a forest fire prediction model based on cellular automata and machine learning
;a forest fire propagation simulator for bogot\'{a}
;a forest fire risk assessment using noaa avhrr images in the valencia area, eastern spain
;a forest-fire model for technology risk transfer
;a four-dimensional agent-based model: a case study of forest-fire smoke propagation
;a framework for defining fire danger to support fire management operations in australia
;a generative model for surrogates of spatial-temporal wildfire nowcasting
;a geo-information system approach for forest fire likelihood based on causative and anti-causative factors
;a geospatial model for real-time predicting rural fire propagation velocity using dynamic algorithms and open data for advanced emergency management
;a gis based operational system for wildland fire crisis management ii. system architecture and case studies
;a gis-based fire spread simulator integrating a simplified physical wildland fire model and a wind field model
;a gis-supported model for the simulation of the spatial structure of wildland fire, cass basin, new zealand
;a google earth engine approach for anthropogenic forest fire assessment with remote sensing data in rema-kalenga wildlife sanctuary, bangladesh
;a hierarchical lstm-based vehicle trajectory prediction method considering interaction information
