YEAR;TITLE
2011;a comparative review on wildfire simulators
2025;a comprehensive review of empirical and dynamic wildfire simulators and machine learning techniques used for the prediction of wildfire in australia
2024;a comprehensive survey of research towards ai-enabled unmanned aerial systems in pre-, active-, and post-wildfire management
2025;a comprehensive survey of the machine learning pipeline for wildfire risk prediction and assessment
2021;a mixed methods literature review and framework for decision factors that may influence the utilization of managed wildfire on federal lands, usa
2019;a review of a new generation of wildfire-atmosphere modeling
2016;a review of approaches to estimate wildfire plume injection height within large-scale atmospheric chemical transport models
2021;a review of forest fire and policy response for resilient adaptation under changing climate in the eastern himalayan region
2020;a review of machine learning applications in wildfire science and management
2024;a review of methods and sensors for detecting forest fire
2026;a review of multisensor data fusion techniques for enhancing wildfire detection accuracy
2012;a review of operations research methods applicable to wildfire management
2023;a review of public safety power shutoffs (psps) for wildfire mitigation: policies, practices, models and data sources
2013;a review of recent advances in risk analysis for wildfire management
2024;a review of risk assessment of transmission lines under wildfire disaster
2022;a review of simulation experiment techniques used to analyze wildfire effects on water quality and supply
2022;a review of the effects of forest fire on soil properties
1997;a review of the incidence of medium and high voltage overhead electric power lines in causing forest fires
2026;a review of the literature on wildfires in the context of climate change
2013;a review of the main driving factors of forest fire ignition over europe
2016;a review of the relationships between drought and forest fire in the united states
2012;a review of wildfire occurrence research
2020;a review on early forest fire detection systems using optical remote sensing
2023;a review on early forest fire detection using iot-enabled wsn
2022;a review on early wildfire detection from unmanned aerial vehicles using deep learning-based computer vision algorithms
2023;a review on forest fire detection and monitoring systems
2014;a review on forest fire detection techniques
2026;a review on forest fire detection techniques: past, present, and sustainable future
2022;a review on forest fire prediction techniques
2026;a review on wildfire-induced changes in soil and surface water chemistry
2019;a scoping review of nurses contributions to health-related, wildfire research
2021;a survey of machine learning algorithms based forest fires prediction and detection systems
2019;a survey on forest fire monitoring using unmanned aerial vehicles
2024;a survey on iot ground sensing systems for early wildfire detection: technologies, challenges, and opportunities
2020;a survey on systematic approaches in managing forest fires
2015;a survey on technologies for automatic forest fire monitoring, detection, and fighting using unmanned aerial vehicles and remote sensing techniques
2021;a survey on the effects of bumpy road on the vibration of multi-purpose forest fire fighting vehicle
2022;a systematic review of applications of machine learning techniques for wildfire management decision support
2015;a systematic review of the physical health impacts from non-occupational exposure to wildfire smoke
2024;advancements in wildfire detection and prediction: an in-depth review
2015;an analytical review on the most widely used meteorological models in forest fire prediction
2022;analysis of deep learning methods for early wildfire detection systems: review
2024;application of deep learning in forest fire prediction: a systematic review
2026;artificial intelligence and remote sensing frameworks for wildfire monitoring and risk analysis across multiple ecosystems: a review
2024;associations between short-term exposure to wildfire particulate matter and respiratory outcomes: a systematic review
2021;automated forest fire prediction systems: a comprehensive review
2019;can satellite-based data substitute for surveyed data to predict the spatial probability of forest fire? a geostatistical approach to forest fire in the republic of korea
2025;challenges and opportunities in remote sensing-based fuel load estimation for wildfire behavior and management: a comprehensive review
2019;climate change impact on future wildfire danger and activity in southern europe: a review
2023;communication perspective of wildfire detection and suppression: a survey of technologies, requirements, and future directions
2026;comparative analysis of community-based wildfire management: a systematic review of australian approaches and implications for california
2026;conceptual clarity in fire science: a systematic review linking climatic factors to wildfire occurrence and spread
2016;critical review of health impacts of wildfire smoke exposure
2024;data linkages for wildfire exposures and human health studies: a scoping review
2019;detection of forest fires based on aerial survey data using neural network technologies
2015;drivers of wildfire suppression costs: literature review and annotated bibliography
2022;early wildfire detection technologies in practice-a review
5187;ecological implications of forest fire in seasonally dry tropical forests: a systematic review
2026;emerging trends in wildfire detection through the lens of computer vision and wildfire emission quantification: a comprehensive survey
2022;estimating wildfire suppression costs: a systematic review
2014;evidence review: wildfire smoke and public health risk
2022;fire and rain: a systematic review of the impacts of wildfire and associated runoff on aquatic fauna
2022;forest fire and landmines identification with the support of drones surveillance for better environmental protection: a survey
2025;forest fire consequences under the influence of changing climate: a systematic review with bibliometric analysis in the context of sustainable development goals
2022;forest fire detection and prediction-survey
2023;forest fire detection techniques based on iot technology: review
2021;forest fire fuel through the lens of remote sensing: review of approaches, challenges and future directions in the remote sensing of biotic determinants of fire
2009;forest fire in india: a review of the knowledge base
2019;forest fire induced natech risk assessment: a survey of geospatial technologies
2025;forest fire management and fire suppression strategies: a systematic literature review
2024;forest fire management, funding dynamics, and research in the burning frontier: a comprehensive review
2024;forest fire surveillance systems: a review of deep learning methods
2017;forest fire: a review
