YEAR;TITLE;DB_COUNT
2026.0;emerging trends in wildfire detection through the lens of computer vision and wildfire emission quantification: a comprehensive survey;3
2011.0;post-wildfire soil erosion in the mediterranean: review and future research directions;2
2011.0;wildfire effects on water quality in forest catchments: a review with implications for water supply;2
2013.0;a review of recent advances in risk analysis for wildfire management;2
2015.0;a systematic review of the physical health impacts from non-occupational exposure to wildfire smoke;2
2016.0;critical review of health impacts of wildfire smoke exposure;2
2016.0;too much, too soon? a review of the effects of increasing wildfire frequency on tree mortality and regeneration in temperate eucalypt forests;2
2019.0;climate change impact on future wildfire danger and activity in southern europe: a review;2
2019.0;forest fire induced natech risk assessment: a survey of geospatial technologies;2
2019.0;spatial prediction of wildfire susceptibility using field survey gps data and machine learning approaches;2
2020.0;a review of machine learning applications in wildfire science and management;2
2020.0;health effects of wildfire smoke in children and public health tools: a narrative review;2
2020.0;impact of wildfire on permafrost landscapes: a review of recent advances and future prospects;2
2020.0;review of wildfire management techniques-part i: causes, prevention, detection, suppression, and data analytics;2
2020.0;wildfire management in canada: review, challenges and opportunities;2
2022.0;a review on early wildfire detection from unmanned aerial vehicles using deep learning-based computer vision algorithms;2
2022.0;wildfire induces changes in receiving waters: a review with considerations for water quality management;2
2023.0;a review of public safety power shutoffs (psps) for wildfire mitigation: policies, practices, models and data sources;2
2024.0;wildfire impacts on security of electric power systems: a survey of risk identification and mitigation approaches;2
2025.0;forest fire consequences under the influence of changing climate: a systematic review with bibliometric analysis in the context of sustainable development goals;2
2025.0;survey of wildfire effects on the peak flow characteristics;2
2026.0;survey of ai-enabled iot for wildfire prediction, detection, and post-operations;2
1997.0;a review of the incidence of medium and high voltage overhead electric power lines in causing forest fires;1
2009.0;forest fire in india: a review of the knowledge base;1
2010.0;the economic cost of adverse health effects from wildfire-smoke exposure: a review;1
2011.0;a comparative review on wildfire simulators;1
2011.0;notice of violation of ieee publication principles: review of wildfire smoke detection techniques based on visible spectrum video analysis;1
2011.0;predicted fates of ground-nesting bees in soil heated by wildfire: thermal tolerances of life stages and a survey of nesting depths;1
2012.0;a review of operations research methods applicable to wildfire management;1
2012.0;a review of wildfire occurrence research;1
2012.0;impact of forest fire on physical, chemical and biological properties of soil: a review;1
2012.0;ozone production from wildfires: a critical review;1
2013.0;a review of the main driving factors of forest fire ignition over europe;1
2014.0;a review on forest fire detection techniques;1
2014.0;evidence review: wildfire smoke and public health risk;1
2014.0;review of wildfire detection using social media;1
2015.0;a survey on technologies for automatic forest fire monitoring, detection, and fighting using unmanned aerial vehicles and remote sensing techniques;1
2015.0;an analytical review on the most widely used meteorological models in forest fire prediction;1
